"age_yrBP","depth_m","deuterium_permille","temp_anomaly_C"
"7595.2207","244.2","-388.4",0.83
"7614.23779","244.75","-400.3",-1.14
"7633.49609","245.3","-403.7",-1.71
"7654.58057","245.85","-398.3",-0.82
"7675.59277","246.4","-396.1",-0.46
"7694.80908","246.95","-390.7",0.43
"7713.66211","247.5","-404.7",-1.88
"7733.28223","248.05","-400.2",-1.14
"7753.18359","248.6","-388.5",0.79
"7773.04932","249.15","-390.4",0.47
"7792.45361","249.7","-405.5",-2.03
"7812.20361","250.25","-399.5",-1.04
"7833.15186","250.8","-402.1",-1.47
"7854.24023","251.35","-402.2",-1.49
"7874.2207","251.9","-395.2",-0.34
"7893.61865","252.45","-391.6",0.26
"7913.12061","253","-396.5",-0.56
"7932.94727","253.55","-399.5",-1.06
"7952.77002","254.1","-400.6",-1.24
"7973.72852","254.65","-401.6",-1.41
"7994.78516","255.2","-400.6",-1.25
"8016.25537","255.75","-406.3",-2.19
"8037.89941","256.3","-398.3",-0.87
"8060.00879","256.85","-411.7",-3.09
"8082.52441","257.4","-399.8",-1.13
"8104.10156","257.95","-396.9",-0.65
"8124.47559","258.5","-401.4",-1.4
"8145.28857","259.05","-405.3",-2.04
"8168.22363","259.6","-408.3",-2.54
"8191.03564","260.15","-406.5",-2.25
"8213.10742","260.7","-400.8",-1.31
"8235.14648","261.25","-403.2",-1.71
"8255.94727","261.8","-397.5",-0.77
"8276.73535","262.35","-401",-1.35
"8297.71387","262.9","-401.5",-1.43
"8318.74023","263.45","-400.4",-1.26
"8339.99707","264","-400.3",-1.24
"8361.41699","264.55","-407.3",-2.4
"8383.13184","265.1","-403",-1.69
"8405.27148","265.65","-404.2",-1.89
"8426.94141","266.2","-401.2",-1.4
"8447.5625","266.75","-397.2",-0.74
"8468.13672","267.3","-396.9",-0.7
"8488.25391","267.85","-397.8",-0.85
"8508.36719","268.4","-409.5",-2.79
"8528.88184","268.95","-397.1",-0.74
"8549.50879","269.5","-390.3",0.38
"8569.625","270.05","-397.5",-0.81
"8589.31641","270.6","-401.9",-1.54
"8608.98145","271.15","-392.4",0.02
"8628.54395","271.7","-399.9",-1.22
"8648.09375","272.25","-399.3",-1.13
"8668.16602","272.8","-396.7",-0.7
"8688.30762","273.35","-402.1",-1.6
"8708.86133","273.9","-401.8",-1.55
"8729.69824","274.45","-397.5",-0.84
"8750.14453","275","-400.2",-1.29
"8769.94727","275.55","-395",-0.44
"8789.86426","276.1","-404.4",-2
"8811.45508","276.65","-402.1",-1.62
"8833.03223","277.2","-397.9",-0.93
"8852.47656","277.75","-393.4",-0.19
"8871.72363","278.3","-397.7",-0.9
"8891.24512","278.85","-397.4",-0.86
"8910.98535","279.4","-397.4",-0.86
"8930.55859","279.95","-399",-1.13
"8949.62988","280.5","-391.8",0.05
"8968.69824","281.05","-392.7",-0.1
"8988.20996","281.6","-401.1",-1.49
"9007.7959","282.15","-396.1",-0.67
"9027.30762","282.7","-397.7",-0.94
"9046.75586","283.25","-395.6",-0.59
"9066.20117","283.8","-398.6",-1.09
"9085.62891","284.35","-394.9",-0.49
"9105.04492","284.9","-394.9",-0.49
"9126.03223","285.45","-407.4",-2.56
"9147.31738","286","-403.4",-1.9
"9167.60547","286.55","-392.2",-0.06
"9187.44238","287.1","-400.4",-1.42
"9206.50879","287.65","-391.1",0.11
"9224.43359","288.2","-388.5",0.54
"9242.35645","288.75","-394.8",-0.51
"9261.82617","289.3","-397.7",-0.99
"9281.49414","289.85","-401.2",-1.57
"9300.67285","290.4","-391.9",-0.04
"9319.49219","290.95","-393.3",-0.28
"9338.2959","291.5","-394.3",-0.45
"9357.02734","292.05","-395",-0.57
"9375.74414","292.6","-392.4",-0.14
"9393.95703","293.15","-393.5",-0.33
"9412.","293.7","-390",0.24
"9447.16602","294.8","-388.5",0.48
"9464.46777","295.35","-394.3",-0.48
"9483.60059","295.9","-403.6",-2.02
"9503.57812","296.45","-393.3",-0.33
"9523.06836","297","-398",-1.11
"9541.80664","297.55","-391",0.04
"9560.53027","298.1","-395.8",-0.75
"9578.31836","298.65","-386.4",0.79
"9596.10449","299.2","-391.8",-0.1
"9614.36035","299.75","-398.2",-1.16
"9633.125","300.3","-391.6",-0.08
"9651.76953","300.85","-393.4",-0.38
"9669.01953","301.4","-384.4",1.11
"9686.26855","301.95","-391.3",-0.04
"9703.60352","302.5","-391",0.01
"9721.02539","303.05","-388.3",0.45
"9738.43359","303.6","-391.4",-0.07
"9755.05371","304.15","-382.9",1.33
"9771.61035","304.7","-387.2",0.62
"9788.9502","305.25","-405.5",-2.4
"9808.65137","305.8","-391.7",-0.13
"9828.33984","306.35","-392.1",-0.2
"9847.20898","306.9","-400.4",-1.57
"9866.01172","307.45","-386.7",0.68
"9884.24121","308","-394.5",-0.61
"9901.97559","308.55","-389.9",0.15
"9919.73633","309.1","-394.7",-0.65
"9938.54395","309.65","-396.6",-0.97
"9957.35059","310.2","-388.6",0.35
"9975.7627","310.75","-392.9",-0.36
"9993.95703","311.3","-395.2",-0.75
"10011.9775","311.85","-389.1",0.26
"10029.3438","312.4","-388.7",0.32
"10046.71","312.95","-391.8",-0.2
"10064.6074","313.5","-388.8",0.29
